,CHR_PCODE,CHR_SYS_SAMPLE_CDE,CHR_SAMPLE_DEL_GRP,CHR_LAB_ANAL_METHOD_NAME,CHR_ANALYSIS_DATE,CHR_TEST_TYPE,CHR_LAB_MATRIX_CDE,CHR_DILUTION_FACTOR,CHR_PREP_METHOD,CHR_PREP_DATE,CHR_LAB_NAME_CDE,CHR_QC_LEVEL,CHR_LAB_SAMPLE_ID,CHR_SUBSAMPLE_AMT,CHR_SUBSAMPLE_AMT_UNIT,CHR_FINAL_VOLUME,CHR_FINAL_VOLUME_UNIT,CHR_CAS_RN,CHR_RESULT_VALUE,CHR_RESULT_TYPE_CDE,CHR_REPORTABLE_RESULT,CHR_DETECT_FLAG,CHR_QLFR_SRC,CHR_LAB_QUAL,CHR_VALIDATED_YN,CHR_VALIDATION_DATE,CHR_VALIDATOR_QUAL,CHR_VALIDATOR_QUAL_EXPLN,CHR_METHOD_DETECT_LIMIT,CHR_REPORTING_DETECT_LIMIT,CHR_QUANTITATION_LIMIT,CHR_DETECTION_LIMIT_UNIT,CHR_RESULT_COMMENT,CHR_QC_ORIG_CONC,CHR_QC_SPIKE_ADDED,CHR_QC_SPIKE_MEASURED,CHR_QC_SPIKE_RECOVERY,CHR_QC_DUP_ORIG_CONC,CHR_QC_DUP_SPIKE_ADDED,CHR_QC_DUP_SPIKE_MEASURED,CHR_QC_DUP_SPIKE_RECOVERY,CHR_QC_RPD,CHR_QC_SPIKE_LCL,CHR_QC_SPIKE_UCL,CHR_QC_RPD_CL,CHR_QC_SPIKE_STATUS,CHR_QC_DUP_SPIKE_STATUS,CHR_QC_RPD_STATUS
1,6,13-SAW-18.4-08262020-W,R2007848,SM 2320 B,8/30/2020 19:56,initial,WS,1,,,ALSRNY,quant,R2007848-001,0,mL,NA,,ALK,154,TRG,Yes,Y,AE,0,N,NA,0,NA,1.8,NA,2,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
2,98,13-SAW-18.4-08262020-W,R2007848,E350.1,8/30/2020 16:32,initial,WS,1,,,ALSRNY,quant,R2007848-001,10,mL,10,mL,7664-41-7,0.026,TRG,Yes,Y,AE,0,N,NA,0,NA,0.003,NA,0.01,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
3,27,13-SAW-18.4-08262020-W,R2007848,E300.0,9/4/2020 22:59,initial,WS,50,,,ALSRNY,quant,R2007848-001,10,mL,10,mL,16887-00-6,162,TRG,Yes,Y,AE,0,N,NA,0,NA,3,NA,10,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
4,31,13-SAW-18.4-08262020-W,R2007848,SM10200H,8/28/2020 13:00,initial,WS,1,METHOD,8/27/2020 13:00,ALSRNY,quant,R2007848-001,1048,mL,1048,mL,479-61-8,1.01,TRG,Yes,Y,AE,0,N,NA,0,NA,NA,NA,0.038,ug/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
5,66,13-SAW-18.4-08262020-W,R2007848,SM2340B,9/8/2020 20:27,initial,WS,1,,9/8/2020 0:00,ALSRNY,quant,R2007848-001,0,mL,NA,,HARD,243,TRG,Yes,Y,AE,0,N,NA,0,NA,NA,NA,6.62,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
6,100,13-SAW-18.4-08262020-W,R2007848,Calculation,8/27/2020 22:16,initial,WS,1,,,ALSRNY,quant,R2007848-001,0,mL,NA,,14797-55-8,0.591,TRG,Yes,Y,AE,0,N,NA,0,NA,NA,NA,0.01,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
7,101,13-SAW-18.4-08262020-W,R2007848,E353.2,9/1/2020 20:11,initial,WS,1,,,ALSRNY,quant,R2007848-001,10,mL,10,mL,NO3NO2N,0.591,TRG,Yes,Y,AE,0,N,NA,0,NA,0.0015,NA,0.002,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
8,102,13-SAW-18.4-08262020-W,R2007848,E353.2,8/27/2020 22:16,initial,WS,1,,,ALSRNY,quant,R2007848-001,10,mL,10,mL,14797-65-0,NA,TRG,Yes,N,AE,U,N,NA,0,NA,0.007,0.007,0.01,mg/l,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
9,103,13-SAW-18.4-08262020-W,R2007848,Calculation,9/4/2020 13:21,initial,WS,1,,9/3/2020 0:00,ALSRNY,quant,R2007848-001,0,mL,NA,,7727-37-9,1.05,TRG,Yes,Y,AE,0,N,NA,0,NA,NA,NA,0.1,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
10,99,13-SAW-18.4-08262020-W,R2007848,E351.2,9/4/2020 13:21,initial,WS,1,METHOD,9/3/2020 13:42,ALSRNY,quant,R2007848-001,20,mL,20,mL,KN,0.46,TRG,Yes,Y,AE,0,N,NA,0,NA,0.1,NA,0.1,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
